	SHH_WT_models_highres10707.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres33371.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres43177.py	
SHH_WT_models_highres38493.py	242.578	1752.175	1749.727	381.535	352.142	373.815	1720.133	243.541	267.693	251.695	361.55	155.836	200.982	369.124	382.022	184.539	201.879	1776.931	159.034	487.771	202.306	400.556	327.29	237.821	1740.521	1701.683	1721.532	1757.53	0.0	354.502	1739.002	411.96	1694.766	371.272	361.664	1737.863	408.747	305.363	1763.883	1746.901	1758.714	1658.265	277.321	1780.737	391.292	354.197	429.77	1726.682	339.243	1772.837	213.935	1742.123	1725.39	171.982	1749.34	1722.396	212.579	253.538	1702.495	265.036	254.406	1704.56	361.005	309.652	1676.996	254.922	1701.716	1683.232	331.207	273.748	466.963	415.829	292.459	264.24	1725.828	1716.956	332.945	1716.324	379.522	372.047	1699.658	1743.012	1662.998	347.572	1762.031	
SHH_WT_models_highres32152.py	404.438	1753.25	1752.496	236.622	476.542	221.672	1726.66	398.105	384.127	401.178	485.541	351.196	372.123	230.993	248.246	334.791	401.953	1755.756	334.586	340.655	352.676	253.724	462.643	379.99	1734.218	1686.882	1738.664	1752.556	354.502	0.0	1741.296	287.108	1688.802	201.544	175.438	1730.452	251.67	403.719	1756.478	1729.206	1751.464	1672.175	400.267	1744.876	242.673	186.869	314.387	1706.864	473.383	1779.047	348.506	1717.121	1759.418	371.766	1758.764	1735.861	362.13	411.62	1696.735	392.743	408.014	1688.963	145.685	445.103	1703.553	380.98	1702.118	1682.421	433.547	438.72	328.338	283.272	356.19	378.071	1732.804	1701.41	156.178	1743.354	458.976	167.156	1696.581	1727.786	1672.234	456.327	1770.157	
SHH_WT_models_highres9291.py	1715.091	246.025	233.495	1703.381	1651.447	1722.674	380.908	1695.308	1698.428	1718.08	1754.318	1752.78	1740.478	1725.442	1717.268	1749.307	1726.103	199.982	1746.062	1642.142	1738.398	1717.332	1691.493	1733.352	401.872	359.252	378.114	282.075	1739.002	1741.296	0.0	1717.806	382.253	1718.595	1728.83	422.807	1735.613	1728.674	207.218	194.61	177.532	456.618	1695.139	703.906	1663.163	1740.324	1743.441	387.335	1699.056	249.537	1756.537	364.466	484.174	1723.444	328.621	242.191	1760.042	1745.242	409.924	1701.606	1752.473	365.974	1738.473	1735.689	365.704	1763.902	413.741	398.338	1749.814	1699.648	1672.044	1710.329	1762.233	1705.372	352.007	375.99	1758.36	493.504	1715.783	1734.743	398.919	227.639	426.115	1772.031	293.923	
SHH_WT_models_highres49590.py	350.425	1740.827	1744.505	177.556	400.018	185.015	1705.727	392.427	418.589	339.411	411.435	412.819	418.749	248.16	203.008	430.105	370.421	1743.046	426.623	272.465	430.838	171.527	421.342	432.857	1722.208	1668.502	1717.627	1739.475	411.96	287.108	1717.806	0.0	1669.683	263.759	282.157	1720.603	205.504	410.94	1739.263	1706.745	1734.449	1652.274	424.914	1747.326	308.082	285.102	252.818	1694.888	425.91	1765.056	458.894	1720.816	1755.33	425.626	1747.046	1709.208	435.539	397.04	1684.37	441.849	362.43	1673.024	334.507	439.393	1678.827	439.272	1689.696	1660.315	471.52	366.363	246.343	210.801	479.866	452.383	1722.061	1705.483	297.037	1747.343	433.792	293.861	1678.609	1704.153	1660.945	412.326	1752.858	
SHH_WT_models_highres12741.py	1681.831	384.737	401.249	1655.568	1636.531	1677.417	230.999	1666.48	1671.51	1683.141	1708.39	1719.741	1715.685	1677.782	1673.222	1725.172	1689.966	354.677	1705.842	1605.331	1714.319	1668.23	1675.519	1690.878	253.067	146.349	489.936	394.629	1694.766	1688.802	382.253	1669.683	0.0	1669.58	1668.953	182.498	1689.159	1709.736	344.817	361.869	389.917	328.827	1662.802	598.842	1621.566	1690.558	1681.044	260.072	1672.254	407.902	1720.496	247.85	361.859	1686.878	468.372	374.634	1710.24	1725.13	283.514	1667.459	1722.552	128.452	1685.22	1717.482	489.538	1735.626	264.74	126.226	1723.696	1662.751	1641.298	1661.298	1713.354	1677.142	455.704	493.148	1691.326	452.225	1689.958	1680.22	92.567	350.221	487.043	1726.09	405.494	
SHH_WT_models_highres32352.py	389.65	1735.407	1732.079	234.069	468.295	232.606	1704.003	382.586	418.342	356.965	460.889	362.7	340.821	192.81	242.55	341.45	377.746	1737.982	345.313	342.524	342.834	247.929	421.76	412.557	1720.104	1671.341	1713.227	1724.437	371.272	201.544	1718.595	263.759	1669.58	0.0	251.088	1717.36	231.583	389.533	1733.693	1709.476	1726.758	1641.854	398.377	1752.482	298.458	286.168	305.104	1698.174	448.686	1757.708	366.673	1704.698	1748.215	358.732	1729.813	1706.084	390.847	392.504	1681.125	451.439	381.179	1675.002	188.581	363.007	1672.209	380.057	1680.867	1663.67	366.131	417.749	326.643	272.092	349.222	393.685	1704.76	1674.03	245.296	1726.767	428.099	252.793	1679.013	1708.906	1656.608	457.283	1738.527	
SHH_WT_models_highres27213.py	372.669	1740.209	1744.506	189.989	468.201	197.308	1708.293	406.726	403.556	381.77	460.77	343.481	391.055	186.507	254.05	373.541	400.859	1747.539	367.571	310.619	378.827	241.804	476.703	347.934	1720.145	1668.928	1722.64	1742.148	361.664	175.438	1728.83	282.157	1668.953	251.088	0.0	1715.948	228.171	404.62	1742.736	1713.227	1745.386	1652.894	417.338	1734.205	267.766	174.061	291.878	1689.135	489.806	1769.62	389.445	1716.725	1748.023	388.772	1747.722	1719.405	359.94	425.808	1680.375	413.484	433.696	1672.744	237.365	468.014	1689.078	436.761	1688.943	1661.608	492.731	402.788	370.248	220.807	432.491	426.995	1720.444	1700.807	130.052	1741.914	491.904	214.756	1677.793	1710.675	1656.799	452.842	1758.285	
SHH_WT_models_highres4191.py	1730.756	376.641	397.404	1707.258	1683.817	1731.086	207.542	1707.732	1719.447	1729.567	1754.207	1764.217	1761.142	1726.676	1728.383	1769.183	1736.269	374.343	1749.644	1659.847	1761.392	1719.337	1715.786	1735.083	175.368	230.759	458.252	404.231	1737.863	1730.452	422.807	1720.603	182.498	1717.36	1715.948	0.0	1744.316	1758.889	385.917	403.106	427.45	311.783	1704.936	588.3	1670.15	1743.775	1726.197	257.303	1716.388	380.194	1765.124	260.563	329.31	1729.708	451.903	371.758	1750.446	1774.548	294.552	1712.653	1772.518	209.255	1730.308	1760.021	465.925	1779.238	242.621	228.993	1773.999	1712.715	1694.485	1715.087	1758.215	1724.33	444.719	496.637	1730.192	450.666	1737.868	1721.872	195.475	420.383	497.328	1774.401	406.885	
SHH_WT_models_highres45161.py	356.173	1753.418	1756.36	149.22	449.35	180.697	1723.701	416.901	434.3	341.294	443.897	394.23	397.589	203.128	215.069	406.641	395.263	1762.285	402.847	293.652	378.653	187.934	443.525	406.389	1744.141	1690.678	1730.062	1754.768	408.747	251.67	1735.613	205.504	1689.159	231.583	228.171	1744.316	0.0	398.054	1753.458	1726.651	1752.232	1665.201	445.497	1772.857	309.12	247.008	273.55	1714.427	468.661	1779.869	426.498	1743.145	1776.935	425.959	1755.12	1727.615	416.713	404.344	1701.344	459.661	369.221	1695.407	287.081	408.727	1690.586	442.914	1708.003	1678.584	439.16	362.027	298.668	196.915	458.982	434.652	1732.527	1717.94	260.817	1769.874	455.886	263.452	1698.112	1721.584	1669.805	436.711	1771.292	
SHH_WT_models_highres33371.py	247.356	1740.839	1739.084	392.018	316.417	371.7	1730.74	297.931	246.909	243.642	372.251	261.832	255.62	384.632	380.698	269.914	309.488	1763.055	282.415	428.313	244.115	396.528	345.053	307.095	1754.771	1717.597	1711.414	1745.952	305.363	403.719	1728.674	410.94	1709.736	389.533	404.62	1758.889	398.054	0.0	1760.347	1737.794	1748.403	1670.204	304.017	1806.732	422.793	377.29	435.589	1740.706	370.002	1755.181	306.426	1756.936	1747.109	284.486	1736.104	1713.358	303.335	241.669	1697.801	324.94	309.0	1720.994	421.99	319.021	1668.731	362.045	1710.99	1696.792	339.876	328.944	433.227	419.0	346.077	288.729	1718.482	1719.393	410.188	1743.558	301.827	406.627	1714.32	1738.577	1667.843	323.69	1750.606	
SHH_WT_models_highres36644.py	1740.214	225.465	242.102	1722.293	1680.841	1742.396	398.021	1720.352	1726.311	1742.293	1777.371	1780.503	1768.176	1742.244	1733.853	1776.997	1748.246	148.36	1771.638	1662.18	1765.261	1735.995	1714.276	1757.7	405.775	350.357	376.459	257.96	1763.883	1756.478	207.218	1739.263	344.817	1733.693	1742.736	385.917	1753.458	1760.347	0.0	202.469	218.115	469.216	1717.826	686.328	1683.509	1761.581	1757.379	375.353	1722.958	232.662	1781.65	376.655	478.547	1749.11	359.642	233.276	1786.094	1773.799	448.252	1728.709	1777.622	358.812	1751.023	1761.301	395.382	1790.405	424.66	369.928	1776.512	1722.013	1697.512	1725.628	1785.284	1732.064	367.108	404.565	1770.7	506.012	1741.175	1755.181	367.816	184.421	393.07	1797.227	275.678	
SHH_WT_models_highres5327.py	1717.57	249.876	263.611	1693.287	1659.658	1712.539	376.445	1704.717	1708.267	1719.321	1755.021	1764.497	1753.666	1721.82	1714.032	1764.467	1728.901	183.264	1757.758	1635.743	1752.081	1703.05	1699.943	1741.51	414.912	317.269	372.673	256.652	1746.901	1729.206	194.61	1706.745	361.869	1709.476	1713.227	403.106	1726.651	1737.794	202.469	0.0	195.705	455.199	1703.334	685.184	1662.72	1734.237	1726.843	367.309	1706.621	282.272	1773.656	368.039	480.899	1734.464	372.382	253.731	1769.83	1756.237	423.982	1709.354	1758.756	355.329	1734.338	1748.48	373.111	1778.437	416.741	383.372	1765.146	1699.289	1671.48	1693.646	1775.646	1717.893	378.471	426.691	1739.559	517.166	1723.866	1726.918	381.593	180.295	397.994	1772.787	272.751	
SHH_WT_models_highres40612.py	1739.482	285.935	233.932	1722.299	1677.426	1739.765	375.639	1718.412	1722.433	1739.799	1777.717	1764.128	1751.898	1745.265	1733.971	1756.289	1744.837	181.791	1757.848	1665.952	1749.692	1733.257	1707.603	1757.944	430.877	359.022	397.715	206.043	1758.714	1751.464	177.532	1734.449	389.917	1726.758	1745.386	427.45	1752.232	1748.403	218.115	195.705	0.0	444.056	1715.581	704.586	1685.794	1758.552	1756.039	401.973	1718.86	300.711	1764.897	334.619	492.899	1743.674	337.581	255.715	1770.569	1761.356	441.372	1726.534	1769.932	378.111	1747.469	1747.406	376.162	1769.603	406.961	414.789	1757.006	1722.477	1690.934	1726.216	1770.234	1724.109	351.487	336.677	1766.246	472.056	1733.293	1753.75	409.114	224.232	458.594	1796.078	227.457	
SHH_WT_models_highres7009.py	1651.094	444.848	399.526	1635.544	1603.479	1654.96	243.652	1630.556	1635.381	1649.593	1684.922	1680.82	1672.718	1649.16	1647.623	1681.081	1656.737	457.421	1665.603	1586.255	1669.698	1654.38	1632.583	1657.272	307.932	356.442	424.728	419.006	1658.265	1672.175	456.618	1652.274	328.827	1641.854	1652.894	311.783	1665.201	1670.204	469.216	455.199	444.056	0.0	1628.756	685.314	1593.551	1664.572	1673.583	385.378	1640.174	456.821	1678.46	297.813	392.937	1649.219	405.223	419.277	1677.447	1681.756	300.679	1631.973	1685.279	369.405	1662.936	1669.534	371.792	1694.689	219.374	379.124	1673.297	1632.318	1614.994	1643.965	1670.233	1635.706	376.771	405.628	1674.669	440.835	1653.854	1660.572	356.439	514.103	502.246	1704.41	446.767	
SHH_WT_models_highres45679.py	324.792	1702.839	1704.965	434.468	271.001	413.937	1684.482	156.13	176.245	308.244	401.277	250.347	263.746	379.066	404.053	265.231	304.825	1728.686	259.432	425.724	279.056	452.975	246.079	309.128	1702.227	1673.78	1675.212	1712.903	277.321	400.267	1695.139	424.914	1662.802	398.377	417.338	1704.936	445.497	304.017	1717.826	1703.334	1715.581	1628.756	0.0	1756.999	352.623	416.561	465.745	1691.469	278.032	1725.191	290.776	1719.923	1699.51	299.008	1703.275	1673.861	276.682	309.908	1661.932	214.67	351.556	1675.808	397.767	350.506	1632.792	310.718	1663.26	1649.094	394.456	361.991	404.876	458.107	319.737	216.108	1679.696	1678.78	398.528	1696.825	292.958	403.534	1670.181	1699.058	1622.662	406.428	1718.639	
SHH_WT_models_highres31237.py	1777.236	663.933	684.391	1741.714	1737.802	1761.2	612.174	1762.393	1766.294	1777.158	1766.97	1802.723	1813.672	1769.607	1769.044	1811.223	1784.697	675.787	1793.585	1702.99	1810.122	1737.99	1767.07	1776.142	600.428	586.682	691.558	711.996	1780.737	1744.876	703.906	1747.326	598.842	1752.482	1734.205	588.3	1772.857	1806.732	686.328	685.184	704.586	685.314	1756.999	0.0	1714.149	1766.011	1734.573	507.446	1754.735	697.653	1811.474	642.253	682.85	1784.314	750.656	704.263	1781.683	1817.078	617.774	1757.462	1809.191	577.852	1753.402	1810.391	761.755	1817.622	623.795	590.543	1828.706	1760.392	1732.042	1745.365	1804.056	1774.689	748.212	780.802	1740.132	765.804	1771.265	1740.28	595.419	673.638	692.002	1790.301	734.209	
SHH_WT_models_highres38046.py	428.777	1673.283	1676.479	284.981	403.633	283.64	1646.536	359.149	334.825	424.318	510.837	404.64	416.139	257.49	260.316	403.262	429.274	1697.065	400.686	232.026	405.772	306.887	406.924	412.536	1664.514	1626.601	1659.964	1681.966	391.292	242.673	1663.163	308.082	1621.566	298.458	267.766	1670.15	309.12	422.793	1683.509	1662.72	1685.794	1593.551	352.623	1714.149	0.0	258.919	359.171	1638.256	434.485	1704.561	405.592	1679.517	1700.258	413.456	1678.129	1652.619	413.698	454.027	1621.062	347.2	456.028	1633.449	278.555	475.764	1619.35	438.894	1629.573	1605.773	497.614	442.286	270.631	298.494	438.222	360.167	1650.763	1638.091	258.924	1702.742	438.913	257.917	1632.193	1657.307	1592.739	510.328	1696.171	
SHH_WT_models_highres46795.py	361.596	1758.167	1758.735	209.088	434.374	197.614	1723.27	420.187	372.544	376.887	479.13	361.895	375.553	259.71	208.063	376.304	379.6	1772.92	366.071	317.066	372.935	261.519	448.929	373.191	1745.791	1691.33	1736.375	1759.271	354.197	186.869	1740.324	285.102	1690.558	286.168	174.061	1743.775	247.008	377.29	1761.581	1734.237	1758.552	1664.572	416.561	1766.011	258.919	0.0	311.954	1710.936	468.853	1790.869	390.149	1741.972	1769.57	398.966	1762.788	1731.405	389.833	374.552	1693.687	381.522	392.739	1697.444	259.968	456.089	1695.051	418.08	1706.495	1676.486	456.614	398.74	328.922	250.93	415.387	392.108	1734.351	1718.436	199.528	1763.139	459.887	247.748	1699.365	1727.71	1669.249	426.148	1772.555	
SHH_WT_models_highres40714.py	400.741	1759.674	1765.329	250.639	468.703	249.621	1727.094	450.084	464.806	390.863	351.34	426.13	427.86	277.451	280.698	446.974	417.705	1754.687	443.296	353.742	440.429	249.03	471.405	452.346	1733.725	1680.003	1738.477	1757.667	429.77	314.387	1743.441	252.818	1681.044	305.104	291.878	1726.197	273.55	435.589	1757.379	1726.843	1756.039	1673.583	465.745	1734.573	359.171	311.954	0.0	1704.111	406.239	1782.417	469.881	1723.639	1761.946	451.291	1772.313	1738.172	435.546	414.455	1699.756	490.397	417.854	1681.627	354.954	461.584	1708.311	484.933	1706.731	1675.352	496.935	430.196	348.161	258.518	497.716	467.515	1746.975	1725.585	293.875	1754.225	405.838	335.519	1687.978	1721.375	1674.327	364.672	1774.672	
SHH_WT_models_highres32499.py	1714.107	331.286	365.041	1678.542	1664.073	1703.082	262.001	1696.899	1698.046	1715.529	1739.597	1752.27	1750.824	1705.418	1702.236	1758.118	1723.628	369.6	1738.562	1627.462	1748.135	1691.634	1703.102	1719.292	259.18	235.834	451.771	418.356	1726.682	1706.864	387.335	1694.888	260.072	1698.174	1689.135	257.303	1714.427	1740.706	375.353	367.309	401.973	385.378	1691.469	507.446	1638.256	1710.936	1704.111	0.0	1701.089	389.769	1755.031	335.885	421.516	1722.185	462.991	392.789	1738.159	1757.763	280.014	1690.174	1754.033	235.97	1710.157	1752.199	472.538	1769.745	294.726	249.383	1765.044	1695.785	1661.818	1686.192	1748.973	1705.701	460.598	516.531	1709.239	539.796	1718.187	1695.718	269.296	371.169	458.644	1758.392	447.674	
SHH_WT_models_highres46847.py	349.807	1708.312	1707.559	463.803	292.517	445.467	1694.281	288.396	316.545	330.379	322.028	363.857	332.217	444.473	414.768	378.228	305.379	1733.152	374.578	469.86	376.136	455.26	244.84	422.011	1717.118	1678.848	1669.432	1716.404	339.243	473.383	1699.056	425.91	1672.254	448.686	489.806	1716.388	468.661	370.002	1722.958	1706.621	1718.86	1640.174	278.032	1754.735	434.485	468.853	406.239	1701.089	0.0	1728.382	396.049	1726.673	1708.973	366.769	1709.497	1681.149	382.254	324.177	1681.48	347.492	325.778	1683.18	480.983	351.064	1635.343	368.128	1678.061	1658.145	392.631	369.17	401.226	468.036	431.452	297.271	1688.577	1685.341	478.467	1700.52	190.954	483.2	1678.467	1700.709	1622.499	318.101	1725.502	
SHH_WT_models_highres11523.py	1753.988	211.923	222.953	1748.853	1691.268	1768.919	414.093	1726.316	1734.579	1752.436	1787.245	1778.077	1761.935	1761.747	1762.367	1772.398	1758.883	194.827	1772.587	1684.829	1763.185	1764.753	1716.51	1771.914	364.752	412.388	322.859	310.372	1772.837	1779.047	249.537	1765.056	407.902	1757.708	1769.62	380.194	1779.869	1755.181	232.662	282.272	300.711	456.821	1725.191	697.653	1704.561	1790.869	1782.417	389.769	1728.382	0.0	1783.863	373.665	473.149	1755.048	299.364	238.221	1788.432	1765.865	430.529	1741.71	1777.832	412.7	1775.79	1757.177	368.652	1786.516	397.007	441.374	1768.871	1741.73	1718.496	1755.538	1788.127	1736.303	330.036	384.076	1789.376	530.827	1740.594	1771.682	425.173	323.111	412.577	1801.961	323.605	
SHH_WT_models_highres9943.py	314.349	1772.111	1765.536	422.6	421.234	430.003	1748.15	268.197	276.536	310.094	402.828	200.257	243.102	384.864	411.143	120.531	311.556	1783.721	163.582	507.401	187.12	449.314	378.274	229.901	1762.501	1734.187	1742.67	1760.98	213.935	348.506	1756.537	458.894	1720.496	366.673	389.445	1765.124	426.498	306.426	1781.65	1773.656	1764.897	1678.46	290.776	1811.474	405.592	390.149	469.881	1755.031	396.049	1783.863	0.0	1766.138	1756.014	217.155	1762.367	1739.222	185.107	327.354	1719.957	291.671	310.932	1733.258	316.266	322.121	1699.013	202.725	1721.469	1709.713	307.777	354.262	486.697	478.677	194.045	249.238	1740.862	1728.606	358.672	1741.617	374.437	341.683	1726.477	1768.242	1688.325	378.036	1764.934	
SHH_WT_models_highres34831.py	1738.328	402.404	358.219	1711.666	1688.573	1730.487	262.507	1721.975	1726.27	1738.157	1760.857	1769.79	1767.576	1735.051	1731.115	1770.478	1744.407	332.794	1750.777	1663.346	1764.539	1716.596	1725.922	1749.651	292.91	257.366	467.307	310.119	1742.123	1717.121	364.466	1720.816	247.85	1704.698	1716.725	260.563	1743.145	1756.936	376.655	368.039	334.619	297.813	1719.923	642.253	1679.517	1741.972	1723.639	335.885	1726.673	373.665	1766.138	0.0	370.296	1734.063	384.255	379.221	1754.28	1776.112	297.44	1724.603	1772.615	257.178	1714.892	1761.425	456.693	1774.533	252.061	316.258	1756.061	1720.682	1693.701	1715.833	1746.305	1726.177	376.446	374.55	1722.044	377.068	1739.236	1717.989	255.05	403.25	548.558	1771.424	336.52	
SHH_WT_models_highres15191.py	1716.828	443.079	451.08	1740.099	1672.281	1763.975	333.748	1701.775	1705.423	1720.75	1744.425	1753.212	1755.064	1760.872	1760.125	1760.498	1724.325	478.898	1741.573	1696.494	1754.604	1752.464	1711.468	1722.306	354.058	370.701	511.541	489.757	1725.39	1759.418	484.174	1755.33	361.859	1748.215	1748.023	329.31	1776.935	1747.109	478.547	480.899	492.899	392.937	1699.51	682.85	1700.258	1769.57	1761.946	421.516	1708.973	473.149	1756.014	370.296	0.0	1722.139	503.226	476.332	1739.611	1762.907	378.59	1695.982	1759.3	370.77	1760.595	1756.584	485.981	1773.78	349.84	383.876	1764.832	1698.349	1726.529	1751.704	1756.576	1714.002	498.851	550.125	1759.997	278.449	1727.945	1751.123	345.317	501.927	520.786	1762.336	494.836	
SHH_WT_models_highres9675.py	289.305	1738.648	1735.061	396.506	386.822	390.198	1712.642	237.563	303.337	283.309	398.589	207.065	221.392	363.836	395.896	183.843	254.926	1760.52	187.528	486.752	197.28	413.543	354.563	284.356	1730.025	1696.701	1707.751	1742.287	171.982	371.766	1723.444	425.626	1686.878	358.732	388.772	1729.708	425.959	284.486	1749.11	1734.464	1743.674	1649.219	299.008	1784.314	413.456	398.966	451.291	1722.185	366.769	1755.048	217.155	1734.063	1722.139	0.0	1733.509	1705.88	255.766	291.196	1693.13	328.308	307.141	1699.685	360.061	287.286	1663.72	249.948	1689.942	1675.825	310.771	321.541	470.067	446.071	276.208	282.672	1709.961	1700.644	378.728	1714.956	395.829	381.73	1692.493	1732.163	1655.795	384.42	1744.937	
SHH_WT_models_highres34949.py	1733.928	293.146	233.988	1730.641	1668.069	1744.782	404.73	1707.228	1711.033	1732.186	1769.827	1762.327	1742.862	1737.738	1740.761	1755.237	1738.158	329.458	1753.026	1666.864	1743.355	1743.817	1694.17	1749.492	405.827	474.559	376.026	310.276	1749.34	1758.764	328.621	1747.046	468.372	1729.813	1747.722	451.903	1755.12	1736.104	359.642	372.382	337.581	405.223	1703.275	750.656	1678.129	1762.788	1772.313	462.991	1709.497	299.364	1762.367	384.255	503.226	1733.509	0.0	355.294	1770.392	1744.681	441.883	1715.355	1757.249	483.507	1749.268	1729.577	334.541	1767.858	391.29	524.676	1739.24	1722.972	1696.603	1734.643	1761.061	1711.737	153.237	251.835	1770.615	500.602	1719.986	1754.035	495.133	441.025	507.613	1788.261	338.638	
SHH_WT_models_highres30124.py	1701.872	266.885	243.974	1694.839	1641.003	1711.473	380.16	1675.255	1684.2	1702.708	1739.443	1734.994	1721.494	1706.753	1703.7	1732.651	1706.362	222.837	1727.112	1632.668	1720.068	1717.363	1669.695	1719.231	394.9	378.277	358.333	266.354	1722.396	1735.861	242.191	1709.208	374.634	1706.084	1719.405	371.758	1727.615	1713.358	233.276	253.731	255.715	419.277	1673.861	704.263	1652.619	1731.405	1738.172	392.789	1681.149	238.221	1739.222	379.221	476.332	1705.88	355.294	0.0	1742.872	1727.68	438.628	1687.829	1736.758	389.074	1728.336	1715.375	353.056	1744.057	371.124	405.777	1730.467	1686.646	1665.649	1702.512	1741.271	1690.128	326.971	365.211	1747.292	501.051	1700.036	1729.538	406.7	271.855	415.128	1761.641	233.241	
SHH_WT_models_highres40847.py	268.31	1769.617	1771.583	399.865	388.046	409.975	1740.815	253.7	268.377	281.881	333.115	140.847	267.137	373.155	436.181	175.681	305.003	1781.494	178.822	499.851	232.885	430.744	397.353	149.935	1749.194	1717.319	1742.84	1770.618	212.579	362.13	1760.042	435.539	1710.24	390.847	359.94	1750.446	416.713	303.335	1786.094	1769.83	1770.569	1677.447	276.682	1781.683	413.698	389.833	435.546	1738.159	382.254	1788.432	185.107	1754.28	1739.611	255.766	1770.392	1742.872	0.0	324.891	1710.178	265.479	323.16	1714.73	366.595	379.079	1699.834	279.422	1714.85	1701.965	394.64	319.636	494.151	456.709	295.98	287.166	1748.572	1741.323	332.898	1732.555	374.819	335.132	1714.677	1764.672	1683.974	332.326	1775.381	
SHH_WT_models_highres12921.py	242.952	1755.567	1750.19	396.501	315.455	354.366	1744.131	322.139	307.619	229.444	362.627	250.952	189.163	400.519	356.847	282.864	221.343	1777.723	258.8	482.848	247.555	404.804	287.701	349.664	1773.464	1732.982	1720.882	1758.857	253.538	411.62	1745.242	397.04	1725.13	392.504	425.808	1774.548	404.344	241.669	1773.799	1756.237	1761.356	1681.756	309.908	1817.078	454.027	374.552	414.455	1757.763	324.177	1765.865	327.354	1776.112	1762.907	291.196	1744.681	1727.68	324.891	0.0	1724.17	354.75	224.393	1737.518	424.236	262.684	1679.411	348.914	1727.162	1712.209	294.505	295.797	438.679	410.081	337.44	306.823	1729.417	1729.267	409.381	1753.481	312.499	453.463	1731.17	1752.992	1682.868	307.544	1763.519	
SHH_WT_models_highres38933.py	1686.678	383.228	408.795	1666.184	1633.98	1688.343	243.54	1669.247	1661.331	1688.111	1718.602	1722.322	1720.428	1689.637	1686.166	1722.472	1702.666	428.271	1706.248	1608.237	1713.481	1680.8	1680.334	1688.833	227.955	279.225	446.793	462.825	1702.495	1696.735	409.924	1684.37	283.514	1681.125	1680.375	294.552	1701.344	1697.801	448.252	423.982	441.372	300.679	1661.932	617.774	1621.062	1693.687	1699.756	280.014	1681.48	430.529	1719.957	297.44	378.59	1693.13	441.883	438.628	1710.178	1724.17	0.0	1657.568	1729.221	265.4	1696.081	1724.091	452.503	1741.409	230.238	290.967	1729.742	1675.01	1642.919	1677.868	1711.276	1670.878	447.037	505.679	1701.738	486.879	1685.006	1681.532	286.091	455.858	492.045	1733.637	480.169	
